row,Date,Speaker,Process,Recipient,codeString
2,505,C,UC,X,IE1.000
3,505,R,UC,C,UC1.000
11,505,R,UC,C,TP1.000
12,505,C,UC,R,EA1.000
12,505,C,UC,R,GO1.000
14,505,C,S,GT,TP1.000
15,505,R,S,C,GO1.000
16,505,C,S,GT,TP1.000
17,505,H,S,C,TP1.000
19,505,H,S,C,TP1.000
20,505,X,S,C,TP1.000
21,505,C,S,X,GO1.000
29,505,H,S,T,KS1.000
30,505,X,S,I,IE1.000
31,505,H,S,B,KS1.000
32,505,X,S,GT,EA1.000
33,505,R,S,GT,EA1.000
34,505,H,S,GT,TP1.000
35,505,R,S,GT,IE1.000
37,505,R,S,GT,TP1.000
38,505,H,S,R,GO1.000
39,505,R,S,GT,TP1.000
40,505,H,G,R,GO1.000
41,505,R,S,H,TP1.000
42,505,X,S,R,KS1.000
43,505,H,S,B,IE1.000
44,505,X,S,GT,TP1.000
46,505,H,S,X,TP1.000
47,505,C,S,X,GO1.000
48,505,H,S,GT,IE1.000
50,505,H,S,,IE1.000
51,505,C,S,I,TP1.000
52,505,H,,GT,TP1.000
53,505,R,S,GT,IE1.000
54,505,H,S,GT,GO1.000
54,505,H,S,GT,TP1.000
55,505,X,S,,EA1.000
56,505,H,S,GT,TP1.000
57,505,X,S,R,TP1.000
58,505,R,S,X,OF1.000
59,505,H,S,R,OF1.000
60,505,X,S,R,OF1.000
61,505,H,S,X,TP1.000
62,505,X,S,I,GO1.000
63,505,R,S,B,TP1.000
64,505,H,S,GT,TP1.000
65,505,X,S,I,GO1.000
66,505,R,S,GT,TP1.000
67,505,H,S,R,GO1.000
68,505,R,S,GT,EA1.000
84,505,X,S,R,OF1.000
85,505,R,S,GT,OF1.000
91,505,X,S,R,OF1.000
92,505,R,S,B,OF1.000
93,505,X,S,R,OF1.000
94,505,C,S,GT,OF1.000
95,505,R,S,GT,OF1.000
96,505,H,S,R,OF1.000
97,505,X,S,C,OF1.000
98,505,C,S,GT,OF1.000
99,505,X,S,C,OF1.000
100,505,H,S,X,OF1.000
101,505,C,S,GT,OF1.000
102,505,X,S,C,TP1.000
103,505,H,G,X,TP1.000
104,505,X,G,H,IE1.000
104,505,X,G,H,TP1.000
105,505,C,G,GT,IE1.000
106,505,H,G,X,IE1.000
107,505,X,G,H,IE1.000
108,505,H,G,X,IE1.000
109,505,X,G,H,IE1.000
110,505,R,G,GT,TP1.000
111,505,X,G,R,IE1.000
112,505,R,G,X,IE1.000
113,505,H,G,R,IE1.000
114,505,X,G,R,IE1.000
115,505,C,G,GT,IE1.000
116,505,R,G,GT,OF1.000
117,505,X,G,R,IE1.000
118,505,C,G,GT,TP1.000
119,505,X,G,R,IE1.000
120,505,H,G,GT,GO1.000
121,505,X,G,R,IE1.000
124,505,X,G,C,IE1.000
125,505,C,G,X,IE1.000
126,505,H,G,C,IE1.000
127,505,X,G,C,IE1.000
128,505,H,G,X,IE1.000
129,505,X,G,I,IE1.000
130,505,H,S,X,IE1.000
131,505,R,S,GT,IE1.000
133,505,R,S,GT,IE1.000
145,505,R,G,GT,OF1.000
146,505,X,G,R,OF1.000
147,505,R,G,GT,OF1.000
148,505,H,G,R,OF1.000
149,505,R,G,GT,OF1.000
150,505,X,G,R,IE1.000
151,505,H,G,R,IE1.000
152,505,R,G,H,IE1.000
153,505,C,G,H,IE1.000
154,505,R,G,GT,IE1.000
155,505,H,G,R,IE1.000
156,505,X,G,H,GO1.000
157,505,C,G,H,IE1.000
158,505,X,G,H,EA1.000
159,505,H,G,GT,EA1.000
161,505,X,G,GT,OF1.000
162,505,R,G,H,IE1.000
163,505,H,G,R,OF1.000
164,505,C,G,GT,EA1.000
165,505,R,G,C,IE1.000
166,505,C,G,GT,IE1.000
167,505,X,G,GT,IE1.000
168,505,C,G,GT,IE1.000
169,505,H,G,GT,OF1.000
170,505,X,G,H,OF1.000
171,505,C,G,GT,OF1.000
172,505,R,G,C,OF1.000
173,505,X,G,R,OF1.000
174,505,C,G,GT,OF1.000
175,505,H,G,GT,OF1.000
176,505,R,G,C,OF1.000
177,505,H,G,R,TP1.000
178,505,R,G,H,TP1.000
179,505,H,G,R,OF1.000
180,505,R,G,C,OF1.000
181,505,R,G,C,OF1.000
182,505,C,G,R,OF1.000
183,505,R,G,C,OF1.000
184,505,C,G,GT,TP1.000
185,505,H,G,GT,TP1.000
186,505,C,G,GT,IE1.000
187,505,X,G,C,IE1.000
188,505,R,G,C,TP1.000
189,505,C,G,R,TP1.000
190,505,H,G,C,GO1.000
191,505,X,G,C,IE1.000
192,505,C,G,X,IE1.000
193,505,X,G,C,IE1.000
194,505,H,G,C,TP1.000
195,505,C,G,GT,UC1.000
196,505,H,G,C,EA1.000
197,505,X,G,C,EA1.000
198,505,H,G,C,EA1.000
198,505,H,G,C,TP1.000
199,505,C,G,H,EA1.000
200,505,H,G,GT,KS1.000
201,505,X,G,C,KS1.000
202,505,R,G,GT,UC1.000
203,505,X,G,R,IE1.000
204,505,R,G,GT,UC1.000
205,505,X,G,GT,KS1.000
207,505,X,G,GT,EA1.000
208,505,C,G,GT,EA1.000
209,505,H,G,GT,EA1.000
210,505,X,G,GT,EA1.000
211,505,R,G,GT,EA1.000
212,505,X,G,GT,EA1.000
213,505,H,R,GT,EA1.000
214,505,R,R,H,EA1.000
215,505,H,R,R,EA1.000
216,505,C,R,H,EA1.000
217,505,X,G,GT,EA1.000
218,505,R,S,X,EA1.000
219,505,R,G,C,EA1.000
220,505,X,G,GT,EA1.000
221,505,C,R,R,EA1.000
222,505,R,R,C,EA1.000
223,505,X,R,C,EA1.000
224,505,C,R,H,EA1.000
225,505,H,R,C,EA1.000
226,505,H,S,GT,EA1.000
228,505,H,S,GT,EA1.000
229,505,X,S,H,EA1.000
230,505,R,S,H,EA1.000
234,505,X,S,H,EA1.000
235,505,H,S,C,EA1.000
236,505,C,S,H,EA1.000
239,505,H,S,C,EA1.000
241,505,H,R,C,EA1.000
242,505,C,R,H,EA1.000
243,505,H,R,C,EA1.000
244,505,C,S,GT,EA1.000
245,505,X,S,C,EA1.000
246,505,C,S,GT,TP1.000
247,505,X,R,C,TP1.000
251,505,X,G,GT,IE1.000
252,505,H,G,X,KS1.000
253,505,X,G,H,KS1.000
254,505,H,R,R,IE1.000
255,505,X,G,H,KS1.000
256,505,R,G,GT,EA1.000
257,505,X,G,H,KS1.000
259,505,R,G,X,EA1.000
260,505,H,R,R,EA1.000
261,505,X,G,R,TP1.000
262,505,H,R,R,TP1.000
263,505,X,G,R,EA1.000
264,505,H,G,R,EA1.000
265,505,X,G,H,EA1.000
266,505,H,G,X,EA1.000
268,505,R,G,GT,EA1.000
269,505,H,G,R,EA1.000
271,505,R,G,GT,KS1.000
272,505,X,G,R,KS1.000
273,505,R,G,X,TP1.000
274,505,X,G,R,KS1.000
275,505,H,G,GT,TP1.000
276,505,X,G,H,GO1.000
